title,company,date,description,attachment_url,scraped_at
Pekerjaan Survei Seismik 3D OBN Zulu North,SKK Migas,18 Mar 2025,Pekerjaan Survei Seismik 3D OBN Zulu North di PT Pertamina Hulu Energi Offshore North West JavaGolongan Usaha: BesarJenis Pengadaan: JasaBidang Usaha: AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);Jenis Pengumuman: Pelelangan UmumLebih lanjutAttachment 1Attachment 2 Informasi Tambahan: - Golongan Usaha: Besar - Jenis Pengadaan: Jasa - Bidang Usaha: AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020); - Jenis Pengumuman: Pelelangan Umum Lampiran: - Lampiran 1: SX03048162A_Pengumuman Prakualifikasi_Survei Seismik 3D-OBN.pdf - Lampiran 2: SX03048162A - Surat Pernyataan Calon Peserta Tender.pdf,https://civd.skkmigas.go.id/download/tnd/ann.jwebs?fileId=558c18a9-5c89-496a-a74f-98b61706a1dd&fileName=SX03048162A_Pengumuman Prakualifikasi_Survei Seismik 3D-OBN.pdf,2025-03-14 09:41:05
Pengadaan AC HVAC Badak dan Semberah-13 Plant,SKK Migas,14 Mar 2025,"Pengadaan AC HVAC Badak dan Semberah-13 PlantGolongan Usaha: KecilJenis Pengadaan: BarangBidang Usaha: INDUSTRI MESIN PENDINGIN (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR BERBAGAI MACAM BARANG (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR MESIN KANTOR DAN INDUSTRI PENGOLAHAN, SUKU CADANG DAN PERLENGKAPANNYA (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);Jenis Pengumuman: Pelelangan UmumLebih lanjutAttachment 1Attachment 2 Informasi Tambahan: - Golongan Usaha: Kecil - Jenis Pengadaan: Barang - Bidang Usaha: INDUSTRI MESIN PENDINGIN (SIUP-IUT-IUI-PROP KBLI 2020); - Jenis Pengumuman: Pelelangan Umum Lampiran: - Lampiran 1: C.01.05.S. Pengumuman Tender Terbuka hvac.pdf - Lampiran 2: Surat Pernyataan Berminat.pdf",https://civd.skkmigas.go.id/download/tnd/ann.jwebs?fileId=fca392b4-1ca2-4980-9b6a-25524732a0e9&fileName=C.01.05.S. Pengumuman Tender Terbuka hvac.pdf,2025-03-14 09:41:05
