ID,Tanggal,Judul,KKKS,Bidang Usaha,Batas Waktu,URL,Attachment URL,Attachment Name
,16 Apr 2025,SPHR01130A_Bit Engineering Services Paket A dan B,PT PERTAMINA HULU ROKAN,"Bidang Usaha : 
							
							
								
									
			                                   
				                                   PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PERTAMBANGAN MINYAK BUMI (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PERTAMBANGAN MINYAK BUMI (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PERDAGANGAN BESAR MESIN KANTOR DAN INDUSTRI PENGOLAHAN, SUKU CADANG DAN PERLENGKAPANNYA (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,9f904607-1afe-4e78-b3d1-c8c828ebf40f,/download/tnd/ann.jwebs,Qualification Announcement SPHR01130A.pdf
,16 Apr 2025,TENDER NO.15211 OPR 25/R1_PENYEDIAAN JASA SEWA 11 UNIT PERALATAN BERAT UNTUK 2 TAHUN,CITIC SERAM ENERGY LIMITED,"Bidang Usaha : 
							
							
								
									
			                                   
				                                   ANGKUTAN BERMOTOR UNTUK BARANG UMUM (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PENYEWAAN ALAT KONSTRUKSI DENGAN OPERATOR (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,c036e09e-ea50-4b7c-819d-4530c4c6b8dd,/download/tnd/ann.jwebs,Tender Announce_15211 OPR25 R1_Rental 11 Units HE_Extended-signed1.pdf
