ID,Tanggal,Judul,KKKS,Bidang Usaha,Batas Waktu,URL,Attachment URL,Attachment Name
,16 Apr 2025,Vehicle Rental Services to Support Production & Operation Field Activities,Texcal Energy Mahato Inc.,": 
							
							
								
									
			                                   
				                                   AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MOBIL, BUS, TRUK DAN SEJENISNYA (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,046959a2-df4c-467c-a5c8-805651a421ee,/download/tnd/ann.jwebs,Pengumuman Prakualifikasi_CM0001062025_CIVD.pdf
,16 Apr 2025,Jasa Managed Network Device dan IT Support,JOB PERTAMINA-MEDCO E&P SIMENGGARIS,": 
							
							
								
									
			                                   
				                                   AKTIVITAS PENYEDIAAN TENAGA KERJA WAKTU TERTENTU (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PENYEDIAAN SUMBER DAYA MANUSIA DAN MANAJEMEN FUNGSI SUMBER DAYA MANUSIA (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,f39b7b8e-8d72-4940-808a-dacb0d352b2b,/download/tnd/ann.jwebs,Pengumuman Undangan Prakualifikasi CIVD_CS69703.pdf
,15 Apr 2025,PENYEDIAAN JASA PENGAWASAN KONSTRUKSI SURFACE FACILITY PT PERTAMINA EP ZONA 4,PERTAMINA HULU ENERGI WMO,": 
							
							
								
									
			                                   
				                                   AKTIVITAS KEINSINYURAN DAN KONSULTASI TEKNIS YBDI (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS KONSULTASI MANAJEMEN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS PROFESIONAL, ILMIAH DAN TEKNIS LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020);",15 Apr 2025,626242a2-19b4-453e-a8e4-31b64de7ea89,/download/tnd/ann.jwebs,1.pdf
,16 Apr 2025,JASA SEWA EARLY PRODUCTION FACILITIES DAN INSTALASI UNTUK WILAYAH KERJA AREA 1 PERTAMINA ZONA 4,PERTAMINA HULU ENERGI WMO,": 
							
							
								
									
			                                   
				                                   AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MESIN, PERALATAN DAN BARANG BERWUJUD LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,ac878148-da14-4acc-a7fa-72f58fd5cfd6,/download/tnd/ann.jwebs,PENGUMUMAN PRAKUALIFIKASI.pdf
,16 Apr 2025,Prakualifikasi No. GX14049172A : Pengadaan Various Electrical Parts,PT PERTAMINA HULU MAHAKAM,": 
							
							
								
									
			                                   
				                                   PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN PERTANIAN (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PERDAGANGAN BESAR BERBAGAI MACAM BARANG (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,b1b112e8-1d98-4977-be56-c6f292baeac7,/download/tnd/ann.jwebs,GX14049172A - C.01.06.S. Pengumuman Prakualifikasi.pdf
,16 Apr 2025,Time Charter of High Speed Crew Boat Services,PETROCHINA INTERNATIONAL JABUNG LTD.,": 
							
							
								
									
			                                   
				                                   ANGKUTAN LAUT (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,96515cb9-293f-4c68-ab0d-12ac715e33fd,/download/tnd/ann.jwebs,PCJ-3815-CA PQ Invitation Announcement.pdf
,15 Apr 2025,Prakualifikasi No. GX14049454A : PENGADAAN VENT KO DRUM PUMP (PR-19201) UNTUK BKP BJ REACTIVATION,PT PERTAMINA HULU MAHAKAM,": 
							
							
								
									
			                                   
				                                   INDUSTRI POMPA LAINNYA, KOMPRESOR, KRAN DAN KLEP/KATUP (SIUP-IUT-IUI-PROP KBLI 2020);",15 Apr 2025,b76d8467-c4fa-4917-a144-810a6589c3b0,/download/tnd/ann.jwebs,FOR SIGN GX14049454A C.01.06.S. Pengumuman Prakualifikasi.pdf
,15 Apr 2025,PQ 299 - Provision of Fishing Equipment Rental and Services,PC KETAPANG II LTD,": 
							
							
								
									
			                                   
				                                   AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);",15 Apr 2025,39b649f5-f779-467c-a9f7-8da5c8c8475a,/download/tnd/ann.jwebs,PQ Invitation_Fishing No. 299.pdf
,15 Apr 2025,Drilling Manpower Services,PETROCHINA INTERNATIONAL JABUNG LTD.,": 
							
							
								
									
			                                   
				                                   AKTIVITAS JASA PERORANGAN LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020);",15 Apr 2025,b726da97-bb49-4053-b66a-a508caf3e0ce,/download/tnd/ann.jwebs,PQ Invitation Announcement in CIVD_PCJ3817CA DRILLING MANPOWER SERVICES.pdf
,15 Apr 2025,Provision of Independent Safety and Environmental (ISE) Consultancy Services (Prakualifikasi Ulang),PREMIER OIL NATUNA SEA B.V.,": 
							
							
								
									
			                                   
				                                   AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS KONSULTASI MANAJEMEN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS PROFESIONAL, ILMIAH DAN TEKNIS LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020);",15 Apr 2025,58327025-10bf-488e-aecc-0299bb8725cf,/download/tnd/ann.jwebs,PQ Adv ISE R2.pdf
,15 Apr 2025,"Prakualifikasi No. GX14049572A : Provision of Casing 7"" SML, P110, 32 PPF, PSL 2, R3, Premium",PT PERTAMINA HULU MAHAKAM,": 
							
							
								
									
			                                   
				                                   INDUSTRI PIPA DAN SAMBUNGAN PIPA DARI BAJA DAN BESI (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PERDAGANGAN BESAR BARANG LOGAM UNTUK BAHAN KONSTRUKSI (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   INDUSTRI PENEMPAAN, PENGEPRESAN, PENCETAKAN DAN PEMBENTUKAN LOGAM; METALURGI BUBUK (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM (SIUP-IUT-IUI-PROP KBLI 2020);",15 Apr 2025,e56e5229-d077-4ddb-9b33-7cf73cf25956,/download/tnd/ann.jwebs,01. Signed_GX14049572A_C.01.06.S. Pengumuman Prakualifikasi.pdf
,16 Apr 2025,Prakualifikasi No. SX04049051B: Jasa Pekerjaan Technical Services Subsurface and Surface Asset,PT PERTAMINA HULU MAHAKAM,": 
							
							
								
									
			                                   
				                                   AKTIVITAS PENGOLAHAN DATA, HOSTING DAN KEGIATAN YBDI; PORTAL WEB (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS PENGOLAHAN DATA (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS KONSULTASI MANAJEMEN (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS KONSULTASI MANAJEMEN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,ae4dd6b9-29e4-488a-8eab-f330c6ed96b6,/download/tnd/ann.jwebs,C.01.06.S. Pengumuman Prakualifikasi_SX04049051B.pdf
,15 Apr 2025,JASA PERBAIKAN KUALITAS MINYAK DAN AIR MENGGUNAKAN CHEMICAL TREATMENT DI PT PERTAMINA EP JAMBI FIELD,PERTAMINA HULU ENERGI WMO,": 
							
							
								
									
			                                   
				                                   INDUSTRI KIMIA DASAR ORGANIK YANG MENGHASILKAN BAHAN KIMIA KHUSUS (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   INDUSTRI BARANG KIMIA LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020);",15 Apr 2025,96a082d8-467d-4cfb-8dc5-bf63dbebc83a,/download/tnd/ann.jwebs,Pengumuman Prakualifikasi-SX07049252A.pdf
,15 Apr 2025,PENYEDIAAN JASA TENAGA AHLI DAN SUPPORT SERVICES FUNGSI DRILLING DI WILAYAH KERJA ZONA 1,PERTAMINA HULU ENERGI WMO,": 
							
							
								
									
			                                   
				                                   AKTIVITAS PENYEDIAAN TENAGA KERJA WAKTU TERTENTU (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   PENYEDIAAN SUMBER DAYA MANUSIA DAN MANAJEMEN FUNGSI SUMBER DAYA MANUSIA (SIUP-IUT-IUI-PROP KBLI 2020);",15 Apr 2025,7be33b11-0058-421d-8818-c6b791c57994,/download/tnd/ann.jwebs,Pengumuman Prakualifikasi-SX07049185A.pdf
,16 Apr 2025,BS70299 : FILTER ELEMENT,PT MEDCO E&P INDONESIA,": 
							
							
								
									
			                                   
				                                   PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,ca8c5378-277a-43a4-a41b-24ca9331e681,/download/tnd/ann.jwebs,BS70299 (9 April 2025).pdf
,16 Apr 2025,BG70290 : PENGADAAN POLYE REFRIGERATION OIL,PT MEDCO E&P INDONESIA,": 
							
							
								
									
			                                   
				                                   PERDAGANGAN BESAR BAHAN BAKAR PADAT, CAIR DAN GAS DAN PRODUK YBDI (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,3a22eee4-e8d0-41b6-92ff-8f654b22101e,/download/tnd/ann.jwebs,BG70290.pdf
,16 Apr 2025,CS69949 : RENTAL 350HP WOWS RIG FOR RIMAU,PT MEDCO E&P INDONESIA,": 
							
							
								
									
			                                   
				                                   AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);",16 Apr 2025,9cb8a5f5-868a-4d2a-8142-95d804163218,/download/tnd/ann.jwebs,CS69949 - 9 April 2025.pdf
,14 Apr 2025,FLOWLINE CONSTRUCTION & EARLY PRODUCTION FACILITIES (EPF) RENTAL SERVICES CLUSTER 4,Texcal Energy Mahato Inc.,": 
							
							
								
									
			                                   
				                                   AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);",14 Apr 2025,f9a7489d-66d5-4c33-82a1-34fc9863ed7d,/download/tnd/ann.jwebs,PQ Announcement_COM-2503004A.pdf
,15 Apr 2025,"LONG TERM CONTRACT PEKERJAAN LOKASI PEMBORAN, FASILITAS PRODUKSI, DAN SARANA PENUNJANG PT PERTAMINA",PERTAMINA HULU ENERGI WMO,": 
							
							
								
									
			                                   
				                                   Jasa Pelaksana Konstruksi Jalan Raya ( kecuali Jalan Layang),Jalan, Rel Kereta Api, dan Landas Pacu Bandara (SIUJK Permen 8 2011);",15 Apr 2025,3f5d36cc-1e98-436d-8677-5522dbf6dd8a,/download/tnd/ann.jwebs,SA07047738A_Pengumuman PQ-1.pdf
,14 Apr 2025,Prakualifikasi No. SX14049557A : Pengadaan Jasa Kapal AHTS 65T,PT PERTAMINA HULU MAHAKAM,": 
							
							
								
									
			                                   
				                                   ANGKUTAN LAUT PERAIRAN PELABUHAN DALAM NEGERI UNTUK PENUMPANG (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   ANGKUTAN LAUT DALAM NEGERI UNTUK BARANG KHUSUS (SIUP-IUT-IUI-PROP KBLI 2020);
				                              
			                              
								
									
			                                   
				                                   AKTIVITAS PENGELOLAAN KAPAL (SIUP-IUT-IUI-PROP KBLI 2020);",14 Apr 2025,761d6a83-50f4-4fc6-94d1-96738e67b398,/download/tnd/ann.jwebs,C.01.06.S. Pengumuman Prakualifikasi - AHTS 65T.pdf
