id,judul,tanggal,kkks,bidangUsaha,batasWaktu,url,attachmentUrl,attachmentName
"ba7082b3-a47c-4873-8ab0-bc9c916fd897","Pengadaan Fire Water Pump c/w Jockey Pump MB2 PHE ONWJ [For PHE ONWJ]","16 Apr 2025","PT PERTAMINA EP","INDUSTRI POMPA LAINNYA, KOMPRESOR, KRAN DAN KLEP/KATUP (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","ba7082b3-a47c-4873-8ab0-bc9c916fd897","/download/tnd/ann.jwebs;jsessionid=C7A7E4A0339DC0591543C44F2A33A3B2","Pengumuman Prakualifikasi - GX11049370A - Signed.pdf"
"c3e8ae23-35a8-4545-aac3-5cc86877c951","JASA PEMELIHARAAN UNIT POMPA HORIZONTAL PUMPING SYSTEM (HPS) DI PT PERTAMINA EP ZONA 4","16 Apr 2025","PERTAMINA HULU ENERGI WMO","AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020); INDUSTRI POMPA LAINNYA, KOMPRESOR, KRAN DAN KLEP/KATUP (SIUP-IUT-IUI-PROP KBLI 2020); REPARASI PRODUK LOGAM PABRIKASI, MESIN DAN PERALATAN (SIUP-IUT-IUI-PROP KBLI 2020); INSTALASI/PEMASANGAN MESIN DAN PERALATAN INDUSTRI (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","c3e8ae23-35a8-4545-aac3-5cc86877c951","/download/tnd/ann.jwebs;jsessionid=C7A7E4A0339DC0591543C44F2A33A3B2","Pengumuman Prakualifikasi.pdf"
"ababf4d4-9d7e-42c9-9105-f9d3ea280c99","BG70208 : Laboratory Equipment","17 Apr 2025","PT MEDCO E&P INDONESIA","INDUSTRI ALAT-ALAT LABORATORIUM NON KLINIS, FARMASI DAN KESEHATAN DARI KACA (SIUP-IUT-IUI-PROP KBLI 2020);","17 Apr 2025","ababf4d4-9d7e-42c9-9105-f9d3ea280c99","/download/tnd/ann.jwebs;jsessionid=797D847E48F3201853C6FC9F37CE3A81","BG70208.pdf"
"ad3e60dc-c3f4-4211-9838-5174b2ba2e78","Prakualifikasi No. SX14047597A : Perawatan Fasilitas Relay Control Panel HPLP Compressor Train 1","17 Apr 2025","PT PERTAMINA HULU MAHAKAM","INSTALASI MINYAK DAN GAS (SIUP-IUT-IUI-PROP KBLI 2020); INDUSTRI ALAT UJI DALAM PROSES INDUSTRI (SIUP-IUT-IUI-PROP KBLI 2020); REPARASI MESIN UNTUK KEPERLUAN KHUSUS (SIUP-IUT-IUI-PROP KBLI 2020); INSTALASI/PEMASANGAN MESIN DAN PERALATAN INDUSTRI (SIUP-IUT-IUI-PROP KBLI 2020); Jasa Pelaksana Konstruksi Instalasi Sistem Kontrol dan Instrumentasi (SIUJK Permen 8 2011);","17 Apr 2025","ad3e60dc-c3f4-4211-9838-5174b2ba2e78","/download/tnd/ann.jwebs;jsessionid=797D847E48F3201853C6FC9F37CE3A81","C.01.06.S. - Pengumuman PQ RFA II SX14047597.pdf"
"d584ab3f-7a2f-48df-adb3-3422365f79cc","Prakualifikasi No. SX14049600A : Provision of Dredging Barge Cutter Suction Dredger (CSD) Package 2","16 Apr 2025","PT PERTAMINA HULU MAHAKAM","AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","d584ab3f-7a2f-48df-adb3-3422365f79cc","/download/tnd/ann.jwebs;jsessionid=797D847E48F3201853C6FC9F37CE3A81","01. signed C.01.06.S. Pengumuman Prakualifikasi-.pdf"
"b8968134-7430-4e8c-9d3f-f01aff7f1e53","PENGOPERASIAN DAN PEMELIHARAAN 2 (DUA) UNIT MOBILE MULTIPHASE FLOW METER DI PT PERTAMINA EP ZONA 7","16 Apr 2025","PT PERTAMINA EP","INSTALASI MINYAK DAN GAS (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","b8968134-7430-4e8c-9d3f-f01aff7f1e53","/download/tnd/ann.jwebs;jsessionid=797D847E48F3201853C6FC9F37CE3A81","Pengumuman Prakualifikasi.pdf"
"046959a2-df4c-467c-a5c8-805651a421ee","Vehicle Rental Services to Support Production & Operation Field Activities","16 Apr 2025","Texcal Energy Mahato Inc.","AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MOBIL, BUS, TRUK DAN SEJENISNYA (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","046959a2-df4c-467c-a5c8-805651a421ee","/download/tnd/ann.jwebs;jsessionid=797D847E48F3201853C6FC9F37CE3A81","Pengumuman Prakualifikasi_CM0001062025_CIVD.pdf"
"f39b7b8e-8d72-4940-808a-dacb0d352b2b","Jasa Managed Network Device dan IT Support","16 Apr 2025","JOB PERTAMINA-MEDCO E&P SIMENGGARIS","PENYEDIAAN SUMBER DAYA MANUSIA DAN MANAJEMEN FUNGSI SUMBER DAYA MANUSIA (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENYEDIAAN TENAGA KERJA WAKTU TERTENTU (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","f39b7b8e-8d72-4940-808a-dacb0d352b2b","/download/tnd/ann.jwebs;jsessionid=797D847E48F3201853C6FC9F37CE3A81","Pengumuman Undangan Prakualifikasi CIVD_CS69703.pdf"
"c284e47b-cd00-4ef3-8757-0991d7213695","Technical Support Services for Operations and Maintenance during Project and Early Operations Phases","16 Apr 2025","BP BERAU LTD.","PENYEDIAAN SUMBER DAYA MANUSIA DAN MANAJEMEN FUNGSI SUMBER DAYA MANUSIA (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS KEINSINYURAN DAN KONSULTASI TEKNIS YBDI (SIUP-IUT-IUI-PROP KBLI 2020);","16 Apr 2025","c284e47b-cd00-4ef3-8757-0991d7213695","/download/tnd/ann.jwebs;jsessionid=036CFCF9EB427D74D7591E05E1684B3C","Prequalification_Announcement_Bilingual_4420003996.pdf"
"3219d641-f14f-4cd2-93b4-682c333e48b2","Prakualifikasi No. GX14049125A : Pengadaan Barang Consumable dan Peralatan Listrik","17 Apr 2025","PT PERTAMINA HULU MAHAKAM","PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR MESIN KANTOR DAN INDUSTRI PENGOLAHAN, SUKU CADANG DAN PERLENGKAPANNYA (SIUP-IUT-IUI-PROP KBLI 2020);","17 Apr 2025","3219d641-f14f-4cd2-93b4-682c333e48b2","/download/tnd/ann.jwebs;jsessionid=036CFCF9EB427D74D7591E05E1684B3C","GX14049125A - C.01.06.S. Pengumuman Prakualifikasi.pdf"
